SkuID,UnitLength,UnitWidth,UnitHeight,UnitWeight,CaseQuantity,CaseLength,CaseWidth,CaseHeight,CaseWeight,,
"16,009RUB",33.3,22.1,7.2,227,6,37.1,26.2,25.7,1792,,
"16,019RUB",24.7,21.1,6.7,318,6,25.8,25.4,22.9,2041,,
"16,021RUB",40.9,22.7,7.2,272,6,46.3,27.7,25.2,2223,,
"16,023RUB",40.7,22.7,7.2,272,6,44.5,28,25.4,2291,,
"16,031RUB",21.4,15.5,12.5,372,6,37.6,31.3,22.9,2667,,
"16,051RUB",53.4,32.1,8.7,1383,6,50.8,32.6,55.4,9004,,
"16,061RUB",42.7,31.3,8.9,499,6,45,36.1,34.1,3856,,
"16,063RUB",42.7,31.3,8.9,499,6,45,36.1,34.1,3856,,
"16,071RUB",32.1,26.2,6.4,272,6,35.4,24.4,30.3,2177,,
"16,073RUB",32.1,27.2,6.4,272,6,34.8,24.7,29.8,2200,,
"16,100,111RUB",42,40.7,54.7,1814,1,42,40.7,54.7,1814,,
"16,173RUB",34.6,23.4,8.2,753,6,53.4,24.2,35.6,4931,,
"16,251RUB",35.1,23.9,4.4,345,12,44.2,35.6,25.4,4681,,
"16,253RUB",35.1,23.9,4.4,345,12,44.2,35.6,25.4,4681,,
"16,261RUB",33.1,14.5,2.8,200,12,36.1,29.8,17.6,2844,,
"16,420RUB",32.8,14.5,4.1,422,6,33.6,23.4,16.6,2821,,
"16,505RUB",21.4,8.4,1.6,68,12,23.4,19.4,10,816,,
"16,551RUB",41.2,25.2,8.2,1315,3,42.2,27,25.7,4350,,
"16,553RUB",41.2,25.2,8.2,1315,3,42.2,27,25.7,4350,,
"16,601RUB",44.5,33.8,12.2,1429,2,45,26,35.9,3379,,
"16,611RUB",33.6,24.9,4.6,372,6,35.6,26.2,26,2613,,
"16,613RUB",33.6,24.9,4.6,372,6,35.6,26.2,26,2613,,
"16,621RUB",34.1,21.6,8.7,413,6,43.2,26.7,35.6,2953,,
"16,623RUB",34.1,21.6,8.7,413,6,43.2,26.7,35.6,2953,,
"16,633RUB",46,35.1,11.7,1565,3,46.8,37.4,37.4,5511,,
